cell_r,cell_c,lon,lat,yield_2021_tha,n_px,elevation_m,bdod,cec,clay,nitrogen,phh2o,sand,silt,soc,bio_1,bio_4,bio_5,bio_12,bio_15,bio_10
4,14,116.952625,40.030125000000005,5.55,20,26.0,135.0,196.0,227.0,,79.0,395.0,378.0,160.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
4,15,116.954875,40.030125000000005,5.913,43,27.0,135.0,196.0,227.0,,79.0,395.0,378.0,160.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
4,20,116.966125,40.030125000000005,5.895,36,27.0,135.0,196.0,227.0,,79.0,395.0,378.0,160.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
4,29,116.986375,40.030125000000005,5.61,24,26.0,135.0,196.0,227.0,,79.0,395.0,378.0,160.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
4,30,116.988625,40.030125000000005,5.779,27,26.0,135.0,196.0,227.0,,79.0,395.0,378.0,160.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
4,44,117.020125,40.030125000000005,6.027,35,27.0,,,,,,,,,11.576666831970215,1128.4345703125,30.284000396728516,531.0,139.8108673095703,24.695999145507812
4,45,117.022375,40.030125000000005,6.017,44,24.0,,,,,,,,,11.576666831970215,1128.4345703125,30.284000396728516,531.0,139.8108673095703,24.695999145507812
4,46,117.024625,40.030125000000005,6.017,38,26.0,,,,,,,,,11.576666831970215,1128.4345703125,30.284000396728516,531.0,139.8108673095703,24.695999145507812
4,53,117.040375,40.030125000000005,6.065,42,28.0,,,,,,,,,11.576666831970215,1128.4345703125,30.284000396728516,531.0,139.8108673095703,24.695999145507812
4,54,117.042625,40.030125000000005,6.053,31,25.0,,,,,,,,,11.63599967956543,1129.246826171875,30.371999740600586,534.0,138.50909423828125,24.77199935913086
4,77,117.094375,40.030125000000005,5.987,21,52.0,131.0,194.0,209.0,,71.0,445.0,346.0,278.0,11.454000473022461,1128.012939453125,30.152000427246094,547.0,135.0243682861328,24.564666748046875
4,131,117.215875,40.030125000000005,5.585,20,139.0,130.0,185.0,198.0,,71.0,425.0,378.0,280.0,11.192166328430176,1125.9381103515625,29.836000442504883,548.0,135.91168212890625,24.27466583251953
5,0,116.921125,40.032375,5.223,19,31.0,136.0,194.0,201.0,,78.0,407.0,392.0,153.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
5,1,116.923375,40.032375,5.146,29,27.0,136.0,194.0,201.0,,78.0,407.0,392.0,153.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
